filename,nanopubs,head,assertion,provenance,pubinfo
20161110.trig.gz,3830,15320,24363,20675,29730
20161210.trig.gz,3838,15352,24419,20711,29791
20170210.trig.gz,3906,15624,25355,21524,30466
20170310.trig.gz,3906,15624,25190,21366,30387
20170410.trig.gz,3910,15640,25247,21406,30429
20170510.trig.gz,3910,15640,25247,21406,30429
